2020-03-07 18:13:21,982 [main] INFO  marytts.PStream Gradient GV optimization for feature: (0)  number of iterations=24
2020-03-07 18:13:21,982 [main] INFO  marytts.PStream Gradient GV optimization for feature: (1)  number of iterations=99
2020-03-07 18:13:21,982 [main] INFO  marytts.PStream Gradient GV optimization for feature: (2)  number of iterations=30
2020-03-07 18:13:21,982 [main] INFO  marytts.PStream Gradient GV optimization for feature: (3)  number of iterations=2
2020-03-07 18:13:21,982 [main] INFO  marytts.PStream Gradient GV optimization for feature: (4)  number of iterations=22
2020-03-07 18:13:21,982 [main] INFO  marytts.PStream Gradient GV optimization for feature: (5)  number of iterations=25
2020-03-07 18:13:21,982 [main] INFO  marytts.PStream Gradient GV optimization for feature: (6)  number of iterations=18
2020-03-07 18:13:21,982 [main] INFO  marytts.PStream Gradient GV optimization for feature: (7)  number of iterations=2
2020-03-07 18:13:21,982 [main] INFO  marytts.PStream Gradient GV optimization for feature: (8)  number of iterations=12
2020-03-07 18:13:21,982 [main] INFO  marytts.PStream Gradient GV optimization for feature: (9)  number of iterations=15
2020-03-07 18:13:21,982 [main] INFO  marytts.PStream Gradient GV optimization for feature: (10)  number of iterations=12
2020-03-07 18:13:21,982 [main] INFO  marytts.PStream Gradient GV optimization for feature: (11)  number of iterations=37
2020-03-07 18:13:21,982 [main] INFO  marytts.PStream Gradient GV optimization for feature: (12)  number of iterations=2
2020-03-07 18:13:21,982 [main] INFO  marytts.PStream Gradient GV optimization for feature: (13)  number of iterations=9
2020-03-07 18:13:21,982 [main] INFO  marytts.PStream Gradient GV optimization for feature: (14)  number of iterations=14
2020-03-07 18:13:21,997 [main] INFO  marytts.PStream Gradient GV optimization for feature: (15)  number of iterations=14
2020-03-07 18:13:21,997 [main] INFO  marytts.PStream Gradient GV optimization for feature: (16)  number of iterations=9
2020-03-07 18:13:21,997 [main] INFO  marytts.PStream Gradient GV optimization for feature: (17)  number of iterations=9
2020-03-07 18:13:21,997 [main] INFO  marytts.PStream Gradient GV optimization for feature: (18)  number of iterations=17
2020-03-07 18:13:21,997 [main] INFO  marytts.PStream Gradient GV optimization for feature: (19)  number of iterations=11
2020-03-07 18:13:21,997 [main] INFO  marytts.PStream Gradient GV optimization for feature: (20)  number of iterations=9
2020-03-07 18:13:21,997 [main] INFO  marytts.PStream Gradient GV optimization for feature: (21)  number of iterations=50
2020-03-07 18:13:21,997 [main] INFO  marytts.PStream Gradient GV optimization for feature: (22)  number of iterations=3
2020-03-07 18:13:21,997 [main] INFO  marytts.PStream Gradient GV optimization for feature: (23)  number of iterations=15
2020-03-07 18:13:21,997 [main] INFO  marytts.PStream Gradient GV optimization for feature: (24)  number of iterations=3
2020-03-07 18:13:21,997 [main] INFO  marytts.ParameterGeneration Using f0 from maryXML acoustparams
2020-03-07 18:13:21,997 [main] INFO  marytts.PStream Global variance optimization
2020-03-07 18:13:21,997 [main] INFO  marytts.PStream Gradient GV optimization for feature: (0)  number of iterations=27
2020-03-07 18:13:21,997 [main] INFO  marytts.PStream Gradient GV optimization for feature: (1)  number of iterations=2
2020-03-07 18:13:21,997 [main] INFO  marytts.PStream Gradient GV optimization for feature: (2)  number of iterations=15
2020-03-07 18:13:22,013 [main] INFO  marytts.PStream Gradient GV optimization for feature: (3)  number of iterations=58
2020-03-07 18:13:22,013 [main] INFO  marytts.PStream Gradient GV optimization for feature: (4)  number of iterations=43
2020-03-07 18:13:22,445 [main] INFO  marytts.R 1 Request processed in 682 ms.
2020-03-07 18:13:22,445 [main] INFO  marytts.R 1    TextToMaryXML took 0 ms
2020-03-07 18:13:22,445 [main] INFO  marytts.R 1    JTokeniser took 32 ms
2020-03-07 18:13:22,445 [main] INFO  marytts.R 1    Preprocess took 0 ms
2020-03-07 18:13:22,445 [main] INFO  marytts.R 1    OpenNLPPosTagger took 78 ms
2020-03-07 18:13:22,445 [main] INFO  marytts.R 1    JPhonemiser took 0 ms
2020-03-07 18:13:22,445 [main] INFO  marytts.R 1    Prosody took 0 ms
2020-03-07 18:13:22,445 [main] INFO  marytts.R 1    PronunciationModel took 0 ms
2020-03-07 18:13:22,445 [main] INFO  marytts.R 1    AcousticModeller took 62 ms
2020-03-07 18:13:22,445 [main] INFO  marytts.R 1    Synthesis took 479 ms
2020-03-07 18:13:31,104 [main] INFO  marytts.R 1 New request (input type "TEXT", output type "AUDIO", voice "cmu-rms-hsmm", effect "Stadium(amount:150.0)", audio "WAVE")
2020-03-07 18:13:31,104 [main] INFO  marytts.R 1 Handling request using the following modules:
2020-03-07 18:13:31,104 [main] INFO  marytts.R 1 - TextToMaryXML (marytts.modules.TextToMaryXML)
2020-03-07 18:13:31,104 [main] INFO  marytts.R 1 Next module: TextToMaryXML
2020-03-07 18:13:31,104 [main] INFO  marytts.R 1 Handling request using the following modules:
2020-03-07 18:13:31,104 [main] INFO  marytts.R 1 - JTokeniser (marytts.language.en.JTokeniser)
2020-03-07 18:13:31,104 [main] INFO  marytts.R 1 - Preprocess (marytts.language.en.Preprocess)
2020-03-07 18:13:31,104 [main] INFO  marytts.R 1 - OpenNLPPosTagger (marytts.modules.OpenNLPPosTagger)
2020-03-07 18:13:31,104 [main] INFO  marytts.R 1 - JPhonemiser (marytts.modules.JPhonemiser)
2020-03-07 18:13:31,104 [main] INFO  marytts.R 1 - Prosody (marytts.language.en.Prosody)
2020-03-07 18:13:31,104 [main] INFO  marytts.R 1 - PronunciationModel (marytts.language.en.PronunciationModel)
2020-03-07 18:13:31,104 [main] INFO  marytts.R 1 - AcousticModeller (marytts.modules.AcousticModeller)
2020-03-07 18:13:31,104 [main] INFO  marytts.R 1 - Synthesis (marytts.modules.Synthesis)
2020-03-07 18:13:31,104 [main] INFO  marytts.R 1 Next module: JTokeniser
2020-03-07 18:13:31,104 [main] INFO  marytts.R 1 Next module: Preprocess
2020-03-07 18:13:31,104 [main] INFO  marytts.R 1 Next module: OpenNLPPosTagger
2020-03-07 18:13:31,104 [main] INFO  marytts.R 1 Next module: JPhonemiser
2020-03-07 18:13:31,104 [main] INFO  marytts.R 1 Next module: Prosody
